campaign_id,campaign_type,start_date,end_date
10,Y,21/10/13,20/12/13
13,Y,21/10/13,22/11/13
15,Y,07/09/13,16/11/13
9,Y,08/10/13,15/11/13
2,Y,16/09/13,18/10/13
27,X,16/09/13,18/10/13
4,X,10/08/13,04/10/13
29,Y,26/08/13,27/09/13
17,Y,29/07/13,30/08/13
14,Y,15/07/13,16/08/13
6,X,19/05/13,05/07/13
3,Y,22/04/13,07/06/13
30,Y,22/04/13,24/05/13
16,Y,08/04/13,10/05/13
24,Y,11/03/13,12/04/13
28,X,16/02/13,05/04/13
7,Y,02/02/13,08/03/13
26,Y,28/01/13,01/03/13
20,Y,22/12/12,16/02/13
19,Y,12/01/13,15/02/13
22,Y,07/01/13,08/02/13
8,Y,12/12/12,18/01/13
25,Y,17/12/12,18/01/13
21,X,19/11/12,04/01/13
23,Y,08/10/12,30/11/12
5,Y,16/09/12,16/11/12
12,Y,25/08/12,27/10/12
1,X,12/08/12,21/09/12
